"","SM","H2_0821","T2_0821","H4_0904","D4_0904","T4_0904","H6_0918","D6_0918","T6_0918","H7_0926","D7_0926","T7_0926","H8_1002","D8_1002","T8_1002","H9_1009","D9_1009","T9_1009","H10_1015","D10_1015"
"SM",1,0.390016984018785,0.213733387246276,0.312483621944729,-0.166214363778923,0.249467261370077,0.352563849030159,-0.00462498751079234,0.210392923601297,0.327375785475043,-0.167996167422318,0.222355609812456,0.277830183548733,-0.111259112211473,0.223333392369884,0.236234534280128,-0.0709073839197874,0.216724042422085,0.19533604553238,-0.0871168913277162
"H2_0821",0.390016984018785,1,-0.320603677096881,0.930806326092332,-0.0659856864896542,-0.292045728271715,0.892074092321156,-0.34250946970551,-0.108323261474897,0.822515076550623,-0.409357353078022,0.0508347439725144,0.703776127115474,-0.264196465944332,0.027877641284258,0.548712614174853,-0.289088777437404,0.0188936301961085,0.42423780592447,-0.239509272411185
"T2_0821",0.213733387246276,-0.320603677096881,1,-0.418692441726429,-0.320985040262128,0.928344564153045,-0.407222447366226,0.149647893923903,0.708071627748568,-0.350599988500601,0.270388143682106,0.662091457115787,-0.348709351693687,-0.0143464773208594,0.685926051755546,-0.336524478711275,-0.0377344294214732,0.699984810057967,-0.328567245620241,-0.0109342680386148
"H4_0904",0.312483621944729,0.930806326092332,-0.418692441726429,1,0.295446315417317,-0.375481735542608,0.940823925277448,-0.408551388532428,-0.198429273769292,0.871436668263814,-0.426507929313257,-0.0544768689364727,0.76495769306498,-0.231376193938313,-0.0751311277475399,0.619333278171917,-0.253997380238506,-0.0814615841283067,0.500552343068273,-0.215828589056512
"D4_0904",-0.166214363778923,-0.0659856864896542,-0.320985040262128,0.295446315417317,1,-0.278181961102917,0.237848301094788,-0.222857734627567,-0.27019537017783,0.230144162018973,-0.100405923186743,-0.303514573415306,0.250332951075866,0.0591381147209015,-0.301703757844547,0.264517533123431,0.0784029445918434,-0.301864951123755,0.270170260167136,0.050891375209168
"T4_0904",0.249467261370077,-0.292045728271715,0.928344564153045,-0.375481735542608,-0.278181961102917,1,-0.370520925861358,0.114492624303865,0.719442653966455,-0.320185959500364,0.24137593470933,0.680737196844881,-0.32556820237739,-0.0365362141674231,0.709186431983057,-0.32583609445078,-0.0714450491179441,0.727723047025583,-0.333036025264052,-0.044530943324717
"H6_0918",0.352563849030159,0.892074092321156,-0.407222447366226,0.940823925277448,0.237848301094788,-0.370520925861358,1,-0.0865976534809255,-0.152217881291595,0.941982165519622,-0.40307768436718,-0.0392870952181599,0.830393488674021,-0.235775667257635,-0.0678175077961083,0.687444156030488,-0.231071253678077,-0.0762844606937469,0.583401820881041,-0.164482830176147
"D6_0918",-0.00462498751079234,-0.34250946970551,0.149647893923903,-0.408551388532428,-0.222857734627567,0.114492624303865,-0.0865976534809255,1,0.176335641601595,-0.0174770929985729,0.235917154207257,0.067815525403014,0.00469564603972612,0.0763260639154054,0.0528161284455371,0.045216982263545,0.126498996467101,0.0479216183968869,0.101492103515549,0.167207222385706
"T6_0918",0.210392923601297,-0.108323261474897,0.708071627748568,-0.198429273769292,-0.27019537017783,0.719442653966455,-0.152217881291595,0.176335641601595,1,-0.0781119777387646,0.267389993378943,0.896767902017712,-0.0742494569988268,0.0256742020359461,0.885508276355263,-0.0792827970552819,-0.0206625494459004,0.873308499159472,-0.0692880870315661,0.0620062714022769
"H7_0926",0.327375785475043,0.822515076550623,-0.350599988500601,0.871436668263814,0.230144162018973,-0.320185959500364,0.941982165519622,-0.0174770929985729,-0.0781119777387646,1,-0.0770770551111553,0.00233204137379738,0.934164668100862,-0.104879528114913,-0.0181655265310049,0.807034590008878,-0.170342124421561,-0.0311199544460084,0.692303924724635,-0.166928656860415
"D7_0926",-0.167996167422318,-0.409357353078022,0.270388143682106,-0.426507929313257,-0.100405923186743,0.24137593470933,-0.40307768436718,0.235917154207257,0.267389993378943,-0.0770770551111553,1,0.153300206621719,0.0727735841860479,0.419945823564985,0.181507330441234,0.148314556946474,0.216617712991063,0.170865090035973,0.144618093409258,0.0357809632150794
"T7_0926",0.222355609812456,0.0508347439725144,0.662091457115787,-0.0544768689364727,-0.303514573415306,0.680737196844881,-0.0392870952181599,0.067815525403014,0.896767902017712,0.00233204137379738,0.153300206621719,1,-0.031963238037571,-0.0749287165321117,0.958316395514746,-0.0882470946182501,-0.147585404750714,0.951396752877066,-0.117282416436085,-0.0463773595196226
"H8_1002",0.277830183548733,0.703776127115474,-0.348709351693687,0.76495769306498,0.250332951075866,-0.32556820237739,0.830393488674021,0.00469564603972612,-0.0742494569988268,0.934164668100862,0.0727735841860479,-0.031963238037571,1,0.252615653535706,-0.0519387110492884,0.936350998092064,0.00180547755829372,-0.067401804765614,0.842203343416809,-0.0951300596147427
"D8_1002",-0.111259112211473,-0.264196465944332,-0.0143464773208594,-0.231376193938313,0.0591381147209015,-0.0365362141674231,-0.235775667257635,0.0763260639154054,0.0256742020359461,-0.104879528114913,0.419945823564985,-0.0749287165321117,0.252615653535706,1,-0.0734596361420954,0.419080860319473,0.472678936628153,-0.0826014981459288,0.465677881195321,0.188228339808224
"T8_1002",0.223333392369884,0.027877641284258,0.685926051755546,-0.0751311277475399,-0.301703757844547,0.709186431983057,-0.0678175077961083,0.0528161284455371,0.885508276355263,-0.0181655265310049,0.181507330441234,0.958316395514746,-0.0519387110492884,-0.0734596361420954,1,-0.110004863308833,-0.162167517576228,0.96506191864148,-0.149313469239402,-0.0786773173805001
"H9_1009",0.236234534280128,0.548712614174853,-0.336524478711275,0.619333278171917,0.264517533123431,-0.32583609445078,0.687444156030488,0.045216982263545,-0.0792827970552819,0.807034590008878,0.148314556946474,-0.0882470946182501,0.936350998092064,0.419080860319473,-0.110004863308833,1,0.345389064727602,-0.126900776353303,0.932930360001657,-0.0170995670381693
"D9_1009",-0.0709073839197874,-0.289088777437404,-0.0377344294214732,-0.253997380238506,0.0784029445918434,-0.0714450491179441,-0.231071253678077,0.126498996467101,-0.0206625494459004,-0.170342124421561,0.216617712991063,-0.147585404750714,0.00180547755829372,0.472678936628153,-0.162167517576228,0.345389064727602,1,-0.169232180798248,0.403579787094944,0.209538161337012
"T9_1009",0.216724042422085,0.0188936301961085,0.699984810057967,-0.0814615841283067,-0.301864951123755,0.727723047025583,-0.0762844606937469,0.0479216183968869,0.873308499159472,-0.0311199544460084,0.170865090035973,0.951396752877066,-0.067401804765614,-0.0826014981459288,0.96506191864148,-0.126900776353303,-0.169232180798248,1,-0.166158323309707,-0.0780081748169876
"H10_1015",0.19533604553238,0.42423780592447,-0.328567245620241,0.500552343068273,0.270170260167136,-0.333036025264052,0.583401820881041,0.101492103515549,-0.0692880870315661,0.692303924724635,0.144618093409258,-0.117282416436085,0.842203343416809,0.465677881195321,-0.149313469239402,0.932930360001657,0.403579787094944,-0.166158323309707,1,0.335828542539119
"D10_1015",-0.0871168913277162,-0.239509272411185,-0.0109342680386148,-0.215828589056512,0.050891375209168,-0.044530943324717,-0.164482830176147,0.167207222385706,0.0620062714022769,-0.166928656860415,0.0357809632150794,-0.0463773595196226,-0.0951300596147427,0.188228339808224,-0.0786773173805001,-0.0170995670381693,0.209538161337012,-0.0780081748169876,0.335828542539119,1
