"","SM","Bv","Bf","did_flwr","Br","Brh","did_rh","H11_1023","D11_1023","H12_1104","D12_1104","H13_1111","D13_1111","H14_1117","D14_1117","H15_1124","D15_1124"
"SM",1,0.144276163368458,0.0283131602364813,0.0791919900500803,0.383129202864301,0.130705776129007,0.0564407614490534,0.122834702674923,-0.00830374493451551,0.0802168196946082,-0.0501605271033739,0.0698174034292667,-0.0864615054613718,0.0869275174178784,0.0397003384632805,0.0922649912077332,0.0210757181537939
"Bv",0.144276163368458,1,-0.580245472367516,-0.546774501009746,0.681156827691505,0.41830617441918,0.553896041038255,0.153491569811015,0.100405862445149,0.189111434721511,0.179834528544452,0.185795421853833,-0.0796583345924451,0.132977517230146,-0.140096754114125,0.0589918381825084,-0.194574055495207
"Bf",0.0283131602364813,-0.580245472367516,1,0.858873778360437,-0.0334040210877106,-0.229086172725659,-0.311821629296089,-0.133756868758455,-0.462990385703189,-0.208026857851238,-0.242918273071037,-0.170015429474136,0.177064705028143,-0.1501110885705,0.0473351341464572,-0.069601426608262,0.228447314441631
"did_flwr",0.0791919900500803,-0.546774501009746,0.858873778360437,1,-0.0377993455592115,-0.27082418264203,-0.301719803332489,-0.0806251345920707,-0.423071975127442,-0.176950280659372,-0.262491089263481,-0.15435619396482,0.115638543165417,-0.123757861613916,0.102129869728108,-0.0483602443564786,0.218719915960357
"Br",0.383129202864301,0.681156827691505,-0.0334040210877106,-0.0377993455592115,1,0.500989281354624,0.459381087107092,0.123926762806742,-0.190083387193795,0.0633072544957167,-0.035584471682624,0.0620890939732417,-0.0315217269377695,0.0214858256412384,-0.110992392383134,-0.0166754586349137,-0.124586845785035
"Brh",0.130705776129007,0.41830617441918,-0.229086172725659,-0.27082418264203,0.500989281354624,1,0.717279496986628,-0.10842003546696,-0.0641897078533483,-0.0529618012724129,0.149714662597975,-0.0749910454245644,-0.0524350002266952,-0.100668272571474,-0.089298777327309,-0.149117995734624,-0.153606190186232
"did_rh",0.0564407614490534,0.553896041038255,-0.311821629296089,-0.301719803332489,0.459381087107092,0.717279496986628,1,-0.160933902599775,-0.0896965741418356,-0.117662721449801,0.0715429182040756,-0.137348330921001,-0.0336437686546963,-0.157914528559904,-0.0385374873990478,-0.200029862446717,-0.144029772798739
"H11_1023",0.122834702674923,0.153491569811015,-0.133756868758455,-0.0806251345920707,0.123926762806742,-0.10842003546696,-0.160933902599775,1,0.710423012205043,0.889576587747739,0.0753667803032535,0.807733383245308,-0.553568791983636,0.712910580884361,-0.300562158411629,0.661610757214665,-0.0532063808677179
"D11_1023",-0.00830374493451551,0.100405862445149,-0.462990385703189,-0.423071975127442,-0.190083387193795,-0.0641897078533483,-0.0896965741418356,0.710423012205043,1,0.720176092289418,0.256851554220599,0.597549632992783,-0.595340812384826,0.50668926131299,-0.304571329501662,0.4186518963699,-0.196107809205049
"H12_1104",0.0802168196946082,0.189111434721511,-0.208026857851238,-0.176950280659372,0.0633072544957167,-0.0529618012724129,-0.117662721449801,0.889576587747739,0.720176092289418,1,0.505095357456492,0.950831581430111,-0.512118068322104,0.868326847695095,-0.258319664486039,0.786327230798226,-0.0808126540590231
"D12_1104",-0.0501605271033739,0.179834528544452,-0.242918273071037,-0.262491089263481,-0.035584471682624,0.149714662597975,0.0715429182040756,0.0753667803032535,0.256851554220599,0.505095357456492,1,0.528323026110834,-0.141279653013108,0.489211458450661,-0.130484226076578,0.400116590451231,-0.132329938243742
"H13_1111",0.0698174034292667,0.185795421853833,-0.170015429474136,-0.15435619396482,0.0620890939732417,-0.0749910454245644,-0.137348330921001,0.807733383245308,0.597549632992783,0.950831581430111,0.528323026110834,1,-0.229855173693261,0.957536394027027,-0.128544321906976,0.903117163388012,0.0411021305176221
"D13_1111",-0.0864615054613718,-0.0796583345924451,0.177064705028143,0.115638543165417,-0.0315217269377695,-0.0524350002266952,-0.0336437686546963,-0.553568791983636,-0.595340812384826,-0.512118068322104,-0.141279653013108,-0.229855173693261,1,-0.0956690040205446,0.44536994987277,0.0121374441415749,0.364594229725704
"H14_1117",0.0869275174178784,0.132977517230146,-0.1501110885705,-0.123757861613916,0.0214858256412384,-0.100668272571474,-0.157914528559904,0.712910580884361,0.50668926131299,0.868326847695095,0.489211458450661,0.957536394027027,-0.0956690040205446,1,0.154158339171469,0.942936911475131,0.0519730178315852
"D14_1117",0.0397003384632805,-0.140096754114125,0.0473351341464572,0.102129869728108,-0.110992392383134,-0.089298777327309,-0.0385374873990478,-0.300562158411629,-0.304571329501662,-0.258319664486039,-0.130484226076578,-0.128544321906976,0.44536994987277,0.154158339171469,1,0.145185686825542,0.0404472444608565
"H15_1124",0.0922649912077332,0.0589918381825084,-0.069601426608262,-0.0483602443564786,-0.0166754586349137,-0.149117995734624,-0.200029862446717,0.661610757214665,0.4186518963699,0.786327230798226,0.400116590451231,0.903117163388012,0.0121374441415749,0.942936911475131,0.145185686825542,1,0.371958834457257
"D15_1124",0.0210757181537939,-0.194574055495207,0.228447314441631,0.218719915960357,-0.124586845785035,-0.153606190186232,-0.144029772798739,-0.0532063808677179,-0.196107809205049,-0.0808126540590231,-0.132329938243742,0.0411021305176221,0.364594229725704,0.0519730178315852,0.0404472444608565,0.371958834457257,1
